"","X1","adult","belongs_to_collection","budget","genres","homepage","id","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count","year"
"1",14226,"False",NA,0,"['Animation', 'Horror', 'Action', 'Comedy']",NA,23127,"tt0419724","en","The Haunted World of El Superbeasto","The Haunted World of El Superbeasto is an animated comedy that also combines elements of a horror and thriller film. It is based upon the comic book series created by Rob Zombie that follows the character of El Superbeasto and his sexy sidekick sister, Suzi-X, voiced by Sheri Moon, as they confront an evil villain by the name of Dr. Satan.",3.517689,"/ywO8qzHhltILnZbeIKw8XbD3u6X.jpg","[{'name': 'Film Roman Productions', 'id': 2017}, {'name': 'Starz Media', 'id': 2659}, {'name': 'Anchor Bay Films', 'id': 5860}, {'name': 'Spectacle Entertainment Group', 'id': 10370}, {'name': 'Carbunkle Cartoons', 'id': 17553}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2009-09-12,0,77,"[{'iso_639_1': 'en', 'name': 'English'}]","Released",NA,"The Haunted World of El Superbeasto","False",6.1,43,2009
"2",2389,"False",NA,10000000,"['Comedy', 'Crime']",NA,1542,"tt0151804","en","Office Space","Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.",12.329066,"/iO9aZzrfmMvm3IqkFiQyuuUMLh2.jpg","[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Cubicle Inc.', 'id': 7458}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1999-02-19,12827813,89,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Work sucks.","Office Space","False",7.4,1068,1999
"3",24351,"False","{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/uGhPxTrmT5yASzZrR1oz1ft9UWr.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",20000000,"['Action', 'Thriller']","http://www.johnwickthemovie.com/",245891,"tt2911666","en","John Wick","Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect",183.870374,"/5vHssUeVe25bMrof1HyaPyWgaP.jpg","[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Warner Bros.', 'id': 6194}, {'name': '87Eleven', 'id': 23008}, {'name': 'DefyNite Films', 'id': 36259}, {'name': 'MJW Films', 'id': 36433}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-22,88761661,101,"[{'iso_639_1': 'hu', 'name': 'Magyar'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]","Released","Don't set him off.","John Wick","False",7,5499,2014
"4",1110,"False","{'id': 529, 'name': 'Wallace & Gromit Collection', 'poster_path': '/993pCCMO9g9RQUtNDxQgE1B330H.jpg', 'backdrop_path': '/huyrvVKEKa9czUY89fnvaAVAtkX.jpg'}",0,"['Animation', 'Comedy', 'Family']","http://www.wallaceandgromit.com/films/the-wrong-trousers",531,"tt0108598","en","The Wrong Trousers","Gromit finds himself being pushed out of his room and home by a new lodger who is actually a ruthless criminal (and a small penguin). The penguin is planning a robbery and needs to use Wallace and his mechanical remote controlled trousers to pull off the raid. However, Gromit is wise to the penguin and comes to the rescue.",7.771233,"/xT2NxRbqnTXYqoVQvKSmkLEm4lE.jpg","[{'name': 'Aardman Animations', 'id': 297}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1993-12-17,0,30,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Winner of the 1993 Academy Award for Best Animated Short.","The Wrong Trousers","False",7.6,266,1993
"5",2363,"False",NA,15000000,"['Action', 'Comedy', 'Drama', 'War']",NA,10015,"tt0091187","en","Heartbreak Ridge","A hard-nosed, hard-living Marine gunnery sergeant clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude.",7.390012,"/hbKkfRpjtoCYabxEmhklM6MhF7g.jpg","[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Jay Weston Productions', 'id': 11742}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1986-12-15,42724017,130,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]","Released","...the scars run deep.","Heartbreak Ridge","False",6.5,270,1986
"6",369,"False","{'id': 167985, 'name': 'Richie Rich Collection', 'poster_path': None, 'backdrop_path': None}",40000000,"['Comedy', 'Family']",NA,11011,"tt0110989","en","Ri¢hie Ri¢h","Billionaire heir Richie Rich has it all, including Reggie Jackson as a batting coach and Claudia Schiffer as a personal trainer -- but no playmates. What's more, scoundrel Laurence Van Dough is scheming to take over the family empire. Uh-oh! Enter faithful butler Cadbury to save the day.",6.595255,"/hbNmaqJcjg4ChZ5vvfQpNzizoiR.jpg","[{'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Silver Pictures', 'id': 1885}, {'name': 'Warner Bros.', 'id': 6194}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-12-19,0,95,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'la', 'name': 'Latin'}]","Released","An adventure so big... even the world's richest kid can't afford to miss it!","Ri¢hie Ri¢h","False",5.4,426,1994
"7",2006,"False","{'id': 84, 'name': 'Indiana Jones Collection', 'poster_path': '/lpxDrACKJhbbGOlwVMNz5YCj6SI.jpg', 'backdrop_path': '/6kh59mZizZsttZPR0HAdXk6Ve2n.jpg'}",28000000,"['Adventure', 'Action']","http://www.indianajones.com",87,"tt0087469","en","Indiana Jones and the Temple of Doom","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",15.802306,"/f2nTRKk2zGdUTE7tLJ5EGGSuKA6.jpg","[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1984-05-23,3.33e+08,118,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'si', 'name': ''}]","Released","If adventure has a name... it must be Indiana Jones.","Indiana Jones and the Temple of Doom","False",7.1,2841,1984
"8",2356,"False",NA,18000000,"['Comedy', 'Drama', 'Fantasy', 'Romance']",NA,10013,"tt0091738","en","Peggy Sue Got Married","Peggy Sue faints at a Highschool reunion. When she wakes up she finds herself in her own past, just before she finished school.",7.471655,"/hr3IcU519Ha5ADGuRLfhHlOi937.jpg","[{'name': 'American Zoetrope', 'id': 70}, {'name': 'TriStar Pictures', 'id': 559}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1986-10-05,41382841,103,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Knowing what you know now, what would you do differently?","Peggy Sue Got Married","False",5.9,138,1986
"9",4765,"False",NA,7000000,"['Action', 'Comedy']",NA,13408,"tt0290332","en","The Wash","With the rent due and his car booted, Sean (Dr. Dre) has to come up with some ends...and fast. When his best buddy and roommate Dee Loc (Snoop Dogg), suggests that Sean get a job busting suds down at the local car wash.",2.483032,"/3h2AKoh6AkzsWtE94QjayVxoLjJ.jpg","[{'name': 'Lionsgate', 'id': 1632}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-11-16,10229331,93,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","When you're down 'n dirty, it all comes out in...","The Wash","False",5.3,26,2001
"10",10322,"False",NA,88000000,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Thriller']",NA,4442,"tt0355295","en","The Brothers Grimm","Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test  when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",15.66148,"/g6EgJUwwQre5RsvFj2hDsLzXUsH.jpg","[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Summit Entertainment', 'id': 491}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Mosaic Media Group', 'id': 748}, {'name': 'Reforma Films', 'id': 1649}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Revolution Sun Studios', 'id': 76043}]","[{'iso_3166_1': 'CZ', 'name': 'Czech Republic'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-08-26,105316267,118,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'it', 'name': 'Italiano'}]","Released","Eliminating Evil Since 1812.","The Brothers Grimm","False",5.6,847,2005
